label,behavior,status,sources
%,textInsert,primitive_render_node,keyboard
(,textInsert,primitive_render_node,keyboard
(x+y)²,textInsert,premium_spec,MORE
),textInsert,primitive_render_node,keyboard
+,textInsert,primitive_render_node,keyboard
+∞,textInsert,premium_spec,longPress
",",textInsert,primitive_render_node,"keyboard,longPress"
.,textInsert,primitive_render_node,keyboard
0,textInsert,primitive_render_node,keyboard
0 matris,structureInsert,premium_spec,"longPress,MORE"
1,textInsert,primitive_render_node,keyboard
10^□,structureInsert,premium_spec,longPress
2,textInsert,primitive_render_node,keyboard
2D vektör,structureInsert,premium_spec,longPress
2×2,structureInsert,premium_spec,"longPress,MORE"
2×2 Matris,textInsert,premium_spec,MORE
3,textInsert,primitive_render_node,keyboard
3D vektör,structureInsert,premium_spec,longPress
3×3,structureInsert,premium_spec,"longPress,MORE"
4,textInsert,primitive_render_node,keyboard
4×4,structureInsert,premium_spec,"longPress,MORE"
5,textInsert,primitive_render_node,keyboard
6,textInsert,primitive_render_node,keyboard
7,textInsert,primitive_render_node,keyboard
8,textInsert,primitive_render_node,keyboard
9,textInsert,primitive_render_node,keyboard
;,textInsert,primitive_render_node,longPress
<,textInsert,primitive_render_node,longPress
=,textInsert,primitive_render_node,"keyboard,longPress"
>,textInsert,primitive_render_node,longPress
A,textInsert,primitive_render_node,"keyboard,longPress,MORE"
Ans,command,command,keyboard
Arg(□),structureInsert,premium_spec,"longPress,MORE"
Asal mı?,structureInsert,premium_spec,MORE
Aᵀ,textInsert,premium_spec,longPress
A⁻¹,textInsert,premium_spec,longPress
A₁,textInsert,premium_spec,longPress
A₂,textInsert,premium_spec,longPress
B,textInsert,primitive_render_node,"keyboard,longPress,MORE"
Binom,structureInsert,premium_spec,"longPress,MORE"
Bᵀ,textInsert,premium_spec,longPress
B⁻¹,textInsert,premium_spec,longPress
B₁,textInsert,premium_spec,longPress
B₂,textInsert,premium_spec,longPress
C,command,command,keyboard
EBOB,structureInsert,premium_spec,MORE
EKOK,structureInsert,premium_spec,MORE
Eşlenik,structureInsert,premium_spec,longPress
Geometrik,structureInsert,premium_spec,"longPress,MORE"
I,textInsert,primitive_render_node,"keyboard,longPress,MORE"
Im(□),structureInsert,premium_spec,"keyboard,MORE"
I₂,textInsert,premium_spec,longPress
I₃,textInsert,premium_spec,longPress
Iₙ,structureInsert,premium_spec,longPress
Kalan,textInsert,premium_spec,MORE
Kuadratik,textInsert,premium_spec,MORE
MORE,command,command,keyboard
Maclaurin,structureInsert,premium_spec,"longPress,MORE"
Moore-Penrose,structureInsert,premium_spec,longPress
Mutlak,textInsert,premium_spec,MORE
RREF,textInsert,premium_spec,MORE
Rank,textInsert,premium_spec,MORE
Re(□),structureInsert,premium_spec,"keyboard,MORE"
Taylor,structureInsert,premium_spec,"longPress,MORE"
