label,expected_visible_mode,reason
key_model.dart,TEXT_LABEL,plain atom/operator/number or compact text
v43-full-keyboard-more-inventory-audit,TEXT_LABEL,plain atom/operator/number or compact text
C,TEXT_LABEL,plain atom/operator/number or compact text
⌫,TEXT_LABEL,plain atom/operator/number or compact text
%,TEXT_LABEL,plain atom/operator/number or compact text
÷,TEXT_LABEL,plain atom/operator/number or compact text
7,TEXT_LABEL,plain atom/operator/number or compact text
8,TEXT_LABEL,plain atom/operator/number or compact text
9,TEXT_LABEL,plain atom/operator/number or compact text
×,TEXT_LABEL,plain atom/operator/number or compact text
4,TEXT_LABEL,plain atom/operator/number or compact text
5,TEXT_LABEL,plain atom/operator/number or compact text
6,TEXT_LABEL,plain atom/operator/number or compact text
−,TEXT_LABEL,plain atom/operator/number or compact text
1,TEXT_LABEL,plain atom/operator/number or compact text
2,TEXT_LABEL,plain atom/operator/number or compact text
3,TEXT_LABEL,plain atom/operator/number or compact text
+,TEXT_LABEL,plain atom/operator/number or compact text
MORE,TEXT_LABEL,plain atom/operator/number or compact text
0,TEXT_LABEL,plain atom/operator/number or compact text
.,TEXT_LABEL,plain atom/operator/number or compact text
Ans,TEXT_LABEL,plain atom/operator/number or compact text
□/□,MATH_GLYPH,structural math glyph/slot preview
√□,MATH_GLYPH,structural math glyph/slot preview
□!,MATH_GLYPH,structural math glyph/slot preview
|□|,MATH_GLYPH,structural math glyph/slot preview
=,TEXT_LABEL,plain atom/operator/number or compact text
↵,TEXT_LABEL,plain atom/operator/number or compact text
(,TEXT_LABEL,plain atom/operator/number or compact text
),TEXT_LABEL,plain atom/operator/number or compact text
x,TEXT_LABEL,plain atom/operator/number or compact text
y,TEXT_LABEL,plain atom/operator/number or compact text
π,TEXT_LABEL,plain atom/operator/number or compact text
e,TEXT_LABEL,plain atom/operator/number or compact text
sin,TEXT_LABEL,bare function/key name; long-press/insertion contract remains hidden
cos,TEXT_LABEL,bare function/key name; long-press/insertion contract remains hidden
tan,TEXT_LABEL,bare function/key name; long-press/insertion contract remains hidden
ln,TEXT_LABEL,bare function/key name; long-press/insertion contract remains hidden
log,TEXT_LABEL,bare function/key name; long-press/insertion contract remains hidden
∞,TEXT_LABEL,plain atom/operator/number or compact text
□^□,MATH_GLYPH,structural math glyph/slot preview
n,TEXT_LABEL,plain atom/operator/number or compact text
{□=□,MATH_GLYPH,structural math glyph/slot preview
f(□),MATH_GLYPH,structural math glyph/slot preview
a,TEXT_LABEL,plain atom/operator/number or compact text
b,TEXT_LABEL,plain atom/operator/number or compact text
c,TEXT_LABEL,plain atom/operator/number or compact text
m,TEXT_LABEL,plain atom/operator/number or compact text
k,TEXT_LABEL,plain atom/operator/number or compact text
d/dx,TEXT_LABEL,bare function/key name; long-press/insertion contract remains hidden
∫□dx,MATH_GLYPH,structural math glyph/slot preview
lim,TEXT_LABEL,bare function/key name; long-press/insertion contract remains hidden
Σ,MATH_GLYPH,structural math glyph/slot preview
dx,TEXT_LABEL,plain atom/operator/number or compact text
i,TEXT_LABEL,plain atom/operator/number or compact text
z,TEXT_LABEL,plain atom/operator/number or compact text
Re(□),MATH_GLYPH,structural math glyph/slot preview
Im(□),MATH_GLYPH,structural math glyph/slot preview
arg(□),MATH_GLYPH,structural math glyph/slot preview
z̄,TEXT_LABEL,plain atom/operator/number or compact text
θ,TEXT_LABEL,plain atom/operator/number or compact text
e^□,MATH_GLYPH,structural math glyph/slot preview
r,TEXT_LABEL,plain atom/operator/number or compact text
[□ □],MATH_GLYPH,structural math glyph/slot preview
[□],MATH_GLYPH,structural math glyph/slot preview
A,TEXT_LABEL,plain atom/operator/number or compact text
B,TEXT_LABEL,plain atom/operator/number or compact text
I,TEXT_LABEL,plain atom/operator/number or compact text
det(□),MATH_GLYPH,structural math glyph/slot preview
□⁻¹,MATH_GLYPH,structural math glyph/slot preview
□ᵀ,MATH_GLYPH,structural math glyph/slot preview
□·□,MATH_GLYPH,structural math glyph/slot preview
□×□,MATH_GLYPH,structural math glyph/slot preview
‖□‖,MATH_GLYPH,structural math glyph/slot preview
[,TEXT_LABEL,plain atom/operator/number or compact text
],TEXT_LABEL,plain atom/operator/number or compact text
",",TEXT_LABEL,plain atom/operator/number or compact text
≠,TEXT_LABEL,plain atom/operator/number or compact text
